customer_id,full_name,phone,city,registered_at,status
1,Customer 00001,+447700000001,Sheffield,2025-04-23,active
2,Customer 00002,+447700000002,London,2025-04-28,active
3,Customer 00003,+447700000003,Bristol,2025-07-25,active
4,Customer 00004,+447700000004,Manchester,2025-04-19,active
5,Customer 00005,+447700000005,Leeds,2025-12-02,blocked
6,Customer 00006,+447700000006,Liverpool,2025-11-26,blocked
7,Customer 00007,+447700000007,Birmingham,2025-05-16,active
8,Customer 00008,+447700000008,Leeds,2026-01-17,active
9,Customer 00009,+447700000009,Cardiff,2025-08-08,blocked
10,Customer 00010,+447700000010,Bristol,2025-04-23,active
11,Customer 00011,+447700000011,Sheffield,2025-09-10,active
12,Customer 00012,+447700000012,London,2025-02-26,active
13,Customer 00013,+447700000013,Birmingham,2025-12-15,blocked
14,Customer 00014,+447700000014,Cardiff,2025-02-02,blocked
15,Customer 00015,+447700000015,Liverpool,2025-11-02,blocked
16,Customer 00016,+447700000016,Sheffield,2025-05-09,active
17,Customer 00017,+447700000017,Manchester,2025-12-16,active
18,Customer 00018,+447700000018,Bristol,2025-02-27,active
19,Customer 00019,+447700000019,Liverpool,2025-03-22,blocked
20,Customer 00020,+447700000020,London,2026-01-05,active
21,Customer 00021,+447700000021,Sheffield,2026-01-26,active
22,Customer 00022,+447700000022,Sheffield,2025-02-24,active
23,Customer 00023,+447700000023,Sheffield,2025-11-08,active
24,Customer 00024,+447700000024,Birmingham,2025-07-11,active
25,Customer 00025,+447700000025,Sheffield,2026-02-03,active
26,Customer 00026,+447700000026,Cardiff,2025-06-15,blocked
27,Customer 00027,+447700000027,London,2025-02-27,active
28,Customer 00028,+447700000028,Glasgow,2025-05-03,active
29,Customer 00029,+447700000029,Leeds,2025-10-18,active
30,Customer 00030,+447700000030,Manchester,2026-01-10,blocked
31,Customer 00031,+447700000031,Manchester,2026-01-25,active
32,Customer 00032,+447700000032,Birmingham,2025-12-04,blocked
33,Customer 00033,+447700000033,Sheffield,2025-03-26,active
34,Customer 00034,+447700000034,Sheffield,2025-11-07,blocked
35,Customer 00035,+447700000035,Leeds,2025-10-04,active
36,Customer 00036,+447700000036,Glasgow,2025-07-24,active
37,Customer 00037,+447700000037,Edinburgh,2025-09-22,blocked
38,Customer 00038,+447700000038,Manchester,2025-05-07,active
39,Customer 00039,+447700000039,Manchester,2025-06-23,active
40,Customer 00040,+447700000040,Cardiff,2025-10-11,active
41,Customer 00041,+447700000041,Cardiff,2025-04-23,active
42,Customer 00042,+447700000042,Manchester,2025-12-29,active
43,Customer 00043,+447700000043,Leeds,2025-02-04,active
44,Customer 00044,+447700000044,Bristol,2025-02-06,active
45,Customer 00045,+447700000045,Glasgow,2025-12-09,blocked
46,Customer 00046,+447700000046,Leeds,2025-10-04,active
